title,source,time,summary
山投集团亚乐士公司设计建设的低温甲醇洗尾气处理装置成功运营,同花顺财经,2019年5月24日,"山西亚乐士公司成立26年,是集技术研发、工程设计和咨询、设备制造、工程安装与调试、售后服务于一体的高新技术企业。 验收鉴定专家组成员,新疆广汇新能源有限公司董事长刘常进、总经理牛玉奇,山西省投资集团有限公司董事长行连军,山西省投资..."
[公告]广汇能源:2015年度社会责任报告,中国财经信息网,2016年4月22日,"刘常进 现任公司第六届董事会董事,新疆广汇新能源有限公司董事、 总经理。 张伟民 现任公司第六届董事会独立董事,新疆律师协会常务副会长, 新疆力和力律师事务所主任律师,新疆维吾尔自治区人民政府立法咨 ..."
哈密市长调研指导广汇新能源公司,搜狐网,2019年3月27日,"3月25日,哈密市委副书记、市长祖木热提·吾布力、秘书长王守江在伊吾县县长斯坎旦·克尤木的陪同下,到广汇新能源公司检查指导安全生产工作。新能源公司副董事长刘常进、总经理牛玉奇陪同调研。"
广汇新能源公司当选哈密市中小企业发展促进会会长单位,搜狐网,2018年12月12日,"12月8日,哈密市中小企业发展促进会第四次会员代表大会在哈密市宾馆召开。广汇新能源公司以卓越的综合发展能力、社会贡献、发展前景以及行业影响力当选第四次会员代表大会会长单位,公司副董事长刘常进当选为第四届会员代表大会会长。"
农发行新疆分行行长杜彦坤调研广汇煤炭煤化工基地,搜狐网,2019年7月15日,"7月11日,中国农业发展银行新疆分行党委书记、行长杜彦坤一行,在广汇能源董事长宋东升等领导的陪同下,前往淖毛湖广汇煤炭煤化工基地调研企业项目生产建设情况。 在新能源公司中央控制室,杜彦坤一行听取新能源公司副董事长刘常进就公司生产工艺..."
广汇能源股份有限公司2020第三季度报告,网易订阅,2020年10月29日,"公司代码:600256 公司简称:广汇能源 2020 第三季度报告 一、重要提示 1.1 公司董事会、监事会及董事、监事、高级管理人员保证季度报告内容的真实、准确、完整,不存在虚假记载、误导性陈述或者重大遗漏,并承担个别和连带的法律责任。"
广汇能源股份有限公司董事会第七届第二十九次会议决议公告,网易订阅,2020年1月14日,"(八)审议通过了《广汇能源股份有限公司关于提请股东大会授权董事会办理2020年员工持股计划相关事宜的议案》,关联董事吴晓勇、林发现、韩士发、刘常进、李丙学已回避表决,表决结果:同意5票、反对0票、弃权0票。"
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年10月12日,"刘常进 男,1964年3月出生,中共党员,研究生学历,教授级高级工程师。现任公司第七届董事会董事,新疆广汇新能源有限公司董事长。曾任公司第六届董事会董事,新疆广汇新能源有限公司总经理,永城煤电集团子公司董事长、总经理。 谭 柏男,198..."
共绘绿色新画卷,新疆新闻在线网,2019年6月2日,"据测算,一套装置每年减排的低硫挥发性有机化合物将达到3万多吨,新疆广汇新能源有限公司董事长刘常进说:“从2015年开始,我们上了脱硝装置、脱硫的改造装置,好多装置都是国内的首套。同时我们在水上采用了国内最先进的P-MBR膜,所以说..."
广汇能源董事长宋东升领衔 97名高管承诺增持不低于1844.5万股,腾讯网,2019年4月27日,"董监高人员方面,广汇能源董事长宋东升、总经理林发现首次增持数量分别为214.64万股、94.25万股,增持数量超过10万股的还有广汇能源董事、副总经理韩士发,董事刘常进、副总经理杨卫华及融资总监王军。"
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年4月11日,本次交易的定价是依据《新疆广汇实业投资(集团)有限责任公司其持有的伊吾广汇能源开发有限公司部分股权评估项目资产评估报告》(卓信大华评报字(2018)第3002号)所评估价值确定。 六、资产评估情况 1、评估目的 本次评估目的是对公司拟收购...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2017年6月22日,"曾任公司第六届董事会董事、总经理;新疆广汇实业投资(集团)有限责任公司副总裁;新疆广汇新能源有限公司董事长;新疆广汇陆友硫化工有限公司董事长;河南开祥化工有限公司董事长、总经理,兼义马煤业集团股份有限公司化工事业部部长;河南省煤气..."
广汇能源:2017年第二次临时股东大会会议材料,搜狐网,2017年6月12日,能源股份有限公司(600256) 广汇能源股份有限公司 2017 年第二次临时股东大会会议议程 会议召开时间:(以下时间均为北京时间) 现场会议时间:2017 年 6 月 21 日(星期三)下午 15 点 00 时 网络投票时间:2017 年 6 月 21 日 采用...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2017年6月6日,"经新疆广汇实业投资(集团)有限责任公司提名推荐为本公司第七届董事会董事候选人,为本公司关联董事候选人。 刘常进 男, 1964年3月出生,中共党员,研究生学历,教授级高级工程师。现任公司第六届董事会董事,新疆广汇新能源有限公司董事长。"
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2016年12月16日,"现任新疆广汇实业投资(集团)有限责任公司董事,新疆富蕴广汇新能源有限公司董事长,新疆富蕴广汇清洁能源开发有限公司董事长,辽宁广汇有机硫化工研究院院长。 曾任新疆广汇实业投资(集团)有限责任公司副总裁;新疆广汇新能源有限公司董事长;新疆..."
广汇能源股份有限公司2021年度对外担保计划公告,网易,1月20日,"2、新疆广汇新能源有限公司(本公司的控股子公司) 持股比例:94.67% 注册资本:350,000万元 注册地址:新疆哈密市伊吾县淖毛湖镇兴业路1号 法定代表人:刘常进 经营范围:煤化工项目工程的投资;设备租赁;煤炭应用技术的研究开发;煤炭生产应..."
广汇能源股份有限公司,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年8月26日,"(其中独立董事 4 人),实际到会董事 11 人,其中:董事林发 现,韩士发,刘常进,李丙学及王志辉以通讯方式参加;...(以下简称:广汇集团)出资 10,000 万元,在哈密市伊吾县注册成 立新疆广汇新能源有限公司(以下简称:广汇新能源),..."
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2019年10月23日,广汇能源股份有限公司 公司代码:600256 公司简称:广汇能源 2019 第三季度报告 一、 重要提示 1.1 公司董事会、...董事韩士发、刘常进、王志辉及独立董事孙积安以通讯方式出席会议。董事李丙学因出差原因未能亲自出席会议委托董事林发现...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年4月11日,本次交易的定价是依据《新疆广汇实业投资(集团)有限责任公司其持有的伊吾广汇能源开发有限公司部分股权评估项目资产评估报告》(卓信大华评报字(2018)第3002号)所评估价值确定。 六、资产评估情况 1、评估目的 本次评估目的是对公司拟收购...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2017年6月22日,"曾任公司第六届董事会董事、总经理;新疆广汇实业投资(集团)有限责任公司副总裁;新疆广汇新能源有限公司董事长;新疆广汇陆友硫化工有限公司董事长;河南开祥化工有限公司董事长、总经理,兼义马煤业集团股份有限公司化工事业部部长;河南省煤气..."
广汇能源:2017年第二次临时股东大会会议材料,搜狐网,2017年6月12日,能源股份有限公司(600256) 广汇能源股份有限公司 2017 年第二次临时股东大会会议议程 会议召开时间:(以下时间均为北京时间) 现场会议时间:2017 年 6 月 21 日(星期三)下午 15 点 00 时 网络投票时间:2017 年 6 月 21 日 采用...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2017年6月6日,"经新疆广汇实业投资(集团)有限责任公司提名推荐为本公司第七届董事会董事候选人,为本公司关联董事候选人。 刘常进 男, 1964年3月出生,中共党员,研究生学历,教授级高级工程师。现任公司第六届董事会董事,新疆广汇新能源有限公司董事长。"
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2016年12月16日,"现任新疆广汇实业投资(集团)有限责任公司董事,新疆富蕴广汇新能源有限公司董事长,新疆富蕴广汇清洁能源开发有限公司董事长,辽宁广汇有机硫化工研究院院长。 曾任新疆广汇实业投资(集团)有限责任公司副总裁;新疆广汇新能源有限公司董事长;新疆..."
