title,source,time,summary
宋旭升率队赴广东深圳、东莞部分企业考察招商,金台资讯,4月25日,"在东莞市众盈新能源科技有限公司,宋旭升一行参观了聚合物锂离子电池研发生产项目,并与企业进行了交流座谈。企业表达了希望将产业向西部进行转移的意向。宋旭升详细介绍了白云区产业发展现状和趋势,特别是对新能源和智能制造产业在白云区的发展..."
超150亿元!东莞这个镇68宗重点项目要冲了!,二三里资讯东莞,4月6日,39、广东嘉拓新能源科技有限公司三期增资扩产项目 40、东莞市超越光学制品有限公司增资项目 41、东莞市盛联制罐有限公司增资扩产项目 42、东莞市镜宝明塑胶制品有限公司厂房、宿舍 43、广东爱车小屋电子商务科技有限公司增资项目 四、文旅...
"企业说|新能安:仅一年,企业营收从零到十多亿",腾讯网,2020年11月20日,"“随着小储能、小动力市场的快速发展,公司业务呈现爆发式增长,人员需求巨大。”陈昌鹭说,去年公司成立时,部分员工直接由东莞新能源科技有限公司、东莞新能德科技有限公司调派支援。三家企业由于存在较多人员、业务往来,在新能安成立之时,就..."
同飞制冷过会:今年IPO过关第347家 中天国富过2单,搜狐网,2020年12月10日,"同飞制冷本次发行的保荐机构为中天国富证券有限公司,保荐代表人为陈刚、康剑雄。这是中天国富今年保荐成功的第2单IPO项目。此前,11月16日,中天国富证券保荐的宁夏沃福百瑞枸杞产业股份有限公司过会。  同飞制冷主要从事工业制冷设备研发、..."
2019年度国家科学技术奖初评结果公示,网易订阅,2019年7月15日,"2019年度国家科学技术奖初评工作已经结束。根据《国家科学技术奖励条例实施细则》的规定,现将初评通过的53项国家自然科学奖项目、56项国家技术发明奖通用项目、152项国家科学技术进步奖通用项目在科技部网站(http://www.most.gov.cn)和我..."
君联资本王超:投资金融科技的逻辑,好买私募基金网,2018年6月21日,"2017年,监管落地,政策开始收割""裸泳者"",但许多企业上市后出现股价打折现象,原因何在?君联资本执行董事王超从互联网金融的成长周期、投资关注点以及监管环境等角度解析了金融科技的投资逻辑。"
"AI领域大咖汇聚,共论手机人工智能的机会 ||6月15日上海CES与你...",搜狐网,2018年5月25日,"人工智能时代,手机摄像头将重要的人机交互感知窗口,影像质量至关重要,来自爱佩仪光电技术有限公司的董事长兼CEO洪航庆将做主题为“人工智能时代手机动态影像质量提升之路”的演讲分享。 龙旗股份产品总监霍胜力届时将为大家带来“关于智能手..."
(上接D5版)成都银行股份有限公司首次公开发行股票网下初步配售...,网易财经,2018年1月19日,2992 中天科技集团有限公司 中天科技集团有限公司 B881014292 2600 3686 2993 洛阳城市发展投资集团有限公司 洛阳城市发展投资集团有限公司 B881537892 2600 3686 2994 林定春 林定春 A105864777 2600 3686 2995 曹伟耀 曹伟耀 A289403350 ...
宋旭升率队赴广东深圳、东莞部分企业考察招商,金台资讯,4月25日,"在东莞市众盈新能源科技有限公司,宋旭升一行参观了聚合物锂离子电池研发生产项目,并与企业进行了交流座谈。企业表达了希望将产业向西部进行转移的意向。宋旭升详细介绍了白云区产业发展现状和趋势,特别是对新能源和智能制造产业在白云区的发展..."
超150亿元!东莞这个镇68宗重点项目要冲了!,二三里资讯东莞,4月6日,39、广东嘉拓新能源科技有限公司三期增资扩产项目 40、东莞市超越光学制品有限公司增资项目 41、东莞市盛联制罐有限公司增资扩产项目 42、东莞市镜宝明塑胶制品有限公司厂房、宿舍 43、广东爱车小屋电子商务科技有限公司增资项目 四、文旅...
"企业说|新能安:仅一年,企业营收从零到十多亿",腾讯网,2020年11月20日,"“随着小储能、小动力市场的快速发展,公司业务呈现爆发式增长,人员需求巨大。”陈昌鹭说,去年公司成立时,部分员工直接由东莞新能源科技有限公司、东莞新能德科技有限公司调派支援。三家企业由于存在较多人员、业务往来,在新能安成立之时,就..."
同飞制冷过会:今年IPO过关第347家 中天国富过2单,搜狐网,2020年12月10日,"同飞制冷本次发行的保荐机构为中天国富证券有限公司,保荐代表人为陈刚、康剑雄。这是中天国富今年保荐成功的第2单IPO项目。此前,11月16日,中天国富证券保荐的宁夏沃福百瑞枸杞产业股份有限公司过会。  同飞制冷主要从事工业制冷设备研发、..."
2019年度国家科学技术奖初评结果公示,网易订阅,2019年7月15日,"2019年度国家科学技术奖初评工作已经结束。根据《国家科学技术奖励条例实施细则》的规定,现将初评通过的53项国家自然科学奖项目、56项国家技术发明奖通用项目、152项国家科学技术进步奖通用项目在科技部网站(http://www.most.gov.cn)和我..."
君联资本王超:投资金融科技的逻辑,好买私募基金网,2018年6月21日,"2017年,监管落地,政策开始收割""裸泳者"",但许多企业上市后出现股价打折现象,原因何在?君联资本执行董事王超从互联网金融的成长周期、投资关注点以及监管环境等角度解析了金融科技的投资逻辑。"
"AI领域大咖汇聚,共论手机人工智能的机会 ||6月15日上海CES与你...",搜狐网,2018年5月25日,"人工智能时代,手机摄像头将重要的人机交互感知窗口,影像质量至关重要,来自爱佩仪光电技术有限公司的董事长兼CEO洪航庆将做主题为“人工智能时代手机动态影像质量提升之路”的演讲分享。 龙旗股份产品总监霍胜力届时将为大家带来“关于智能手..."
(上接D5版)成都银行股份有限公司首次公开发行股票网下初步配售...,网易财经,2018年1月19日,2992 中天科技集团有限公司 中天科技集团有限公司 B881014292 2600 3686 2993 洛阳城市发展投资集团有限公司 洛阳城市发展投资集团有限公司 B881537892 2600 3686 2994 林定春 林定春 A105864777 2600 3686 2995 曹伟耀 曹伟耀 A289403350 ...
宋旭升率队赴广东深圳、东莞部分企业考察招商,金台资讯,4月25日,"在东莞市众盈新能源科技有限公司,宋旭升一行参观了聚合物锂离子电池研发生产项目,并与企业进行了交流座谈。企业表达了希望将产业向西部进行转移的意向。宋旭升详细介绍了白云区产业发展现状和趋势,特别是对新能源和智能制造产业在白云区的发展..."
超150亿元!东莞这个镇68宗重点项目要冲了!,二三里资讯东莞,4月6日,39、广东嘉拓新能源科技有限公司三期增资扩产项目 40、东莞市超越光学制品有限公司增资项目 41、东莞市盛联制罐有限公司增资扩产项目 42、东莞市镜宝明塑胶制品有限公司厂房、宿舍 43、广东爱车小屋电子商务科技有限公司增资项目 四、文旅...
"企业说|新能安:仅一年,企业营收从零到十多亿",腾讯网,2020年11月20日,"“随着小储能、小动力市场的快速发展,公司业务呈现爆发式增长,人员需求巨大。”陈昌鹭说,去年公司成立时,部分员工直接由东莞新能源科技有限公司、东莞新能德科技有限公司调派支援。三家企业由于存在较多人员、业务往来,在新能安成立之时,就..."
同飞制冷过会:今年IPO过关第347家 中天国富过2单,搜狐网,2020年12月10日,"同飞制冷本次发行的保荐机构为中天国富证券有限公司,保荐代表人为陈刚、康剑雄。这是中天国富今年保荐成功的第2单IPO项目。此前,11月16日,中天国富证券保荐的宁夏沃福百瑞枸杞产业股份有限公司过会。  同飞制冷主要从事工业制冷设备研发、..."
2019年度国家科学技术奖初评结果公示,网易订阅,2019年7月15日,"2019年度国家科学技术奖初评工作已经结束。根据《国家科学技术奖励条例实施细则》的规定,现将初评通过的53项国家自然科学奖项目、56项国家技术发明奖通用项目、152项国家科学技术进步奖通用项目在科技部网站(http://www.most.gov.cn)和我..."
君联资本王超:投资金融科技的逻辑,好买私募基金网,2018年6月21日,"2017年,监管落地,政策开始收割""裸泳者"",但许多企业上市后出现股价打折现象,原因何在?君联资本执行董事王超从互联网金融的成长周期、投资关注点以及监管环境等角度解析了金融科技的投资逻辑。"
"AI领域大咖汇聚,共论手机人工智能的机会 ||6月15日上海CES与你...",搜狐网,2018年5月25日,"人工智能时代,手机摄像头将重要的人机交互感知窗口,影像质量至关重要,来自爱佩仪光电技术有限公司的董事长兼CEO洪航庆将做主题为“人工智能时代手机动态影像质量提升之路”的演讲分享。 龙旗股份产品总监霍胜力届时将为大家带来“关于智能手..."
(上接D5版)成都银行股份有限公司首次公开发行股票网下初步配售...,网易财经,2018年1月19日,2992 中天科技集团有限公司 中天科技集团有限公司 B881014292 2600 3686 2993 洛阳城市发展投资集团有限公司 洛阳城市发展投资集团有限公司 B881537892 2600 3686 2994 林定春 林定春 A105864777 2600 3686 2995 曹伟耀 曹伟耀 A289403350 ...
宋旭升率队赴广东深圳、东莞部分企业考察招商,金台资讯,4月25日,"在东莞市众盈新能源科技有限公司,宋旭升一行参观了聚合物锂离子电池研发生产项目,并与企业进行了交流座谈。企业表达了希望将产业向西部进行转移的意向。宋旭升详细介绍了白云区产业发展现状和趋势,特别是对新能源和智能制造产业在白云区的发展..."
超150亿元!东莞这个镇68宗重点项目要冲了!,二三里资讯东莞,4月6日,39、广东嘉拓新能源科技有限公司三期增资扩产项目 40、东莞市超越光学制品有限公司增资项目 41、东莞市盛联制罐有限公司增资扩产项目 42、东莞市镜宝明塑胶制品有限公司厂房、宿舍 43、广东爱车小屋电子商务科技有限公司增资项目 四、文旅...
"企业说|新能安:仅一年,企业营收从零到十多亿",腾讯网,2020年11月20日,"“随着小储能、小动力市场的快速发展,公司业务呈现爆发式增长,人员需求巨大。”陈昌鹭说,去年公司成立时,部分员工直接由东莞新能源科技有限公司、东莞新能德科技有限公司调派支援。三家企业由于存在较多人员、业务往来,在新能安成立之时,就..."
同飞制冷过会:今年IPO过关第347家 中天国富过2单,搜狐网,2020年12月10日,"同飞制冷本次发行的保荐机构为中天国富证券有限公司,保荐代表人为陈刚、康剑雄。这是中天国富今年保荐成功的第2单IPO项目。此前,11月16日,中天国富证券保荐的宁夏沃福百瑞枸杞产业股份有限公司过会。  同飞制冷主要从事工业制冷设备研发、..."
2019年度国家科学技术奖初评结果公示,网易订阅,2019年7月15日,"2019年度国家科学技术奖初评工作已经结束。根据《国家科学技术奖励条例实施细则》的规定,现将初评通过的53项国家自然科学奖项目、56项国家技术发明奖通用项目、152项国家科学技术进步奖通用项目在科技部网站(http://www.most.gov.cn)和我..."
君联资本王超:投资金融科技的逻辑,好买私募基金网,2018年6月21日,"2017年,监管落地,政策开始收割""裸泳者"",但许多企业上市后出现股价打折现象,原因何在?君联资本执行董事王超从互联网金融的成长周期、投资关注点以及监管环境等角度解析了金融科技的投资逻辑。"
"AI领域大咖汇聚,共论手机人工智能的机会 ||6月15日上海CES与你...",搜狐网,2018年5月25日,"人工智能时代,手机摄像头将重要的人机交互感知窗口,影像质量至关重要,来自爱佩仪光电技术有限公司的董事长兼CEO洪航庆将做主题为“人工智能时代手机动态影像质量提升之路”的演讲分享。 龙旗股份产品总监霍胜力届时将为大家带来“关于智能手..."
(上接D5版)成都银行股份有限公司首次公开发行股票网下初步配售...,网易财经,2018年1月19日,2992 中天科技集团有限公司 中天科技集团有限公司 B881014292 2600 3686 2993 洛阳城市发展投资集团有限公司 洛阳城市发展投资集团有限公司 B881537892 2600 3686 2994 林定春 林定春 A105864777 2600 3686 2995 曹伟耀 曹伟耀 A289403350 ...
